tên_bệnh,hội_chứng,chủ_chứng,triệu_chứng,lưỡi,mạch,bài_thuốc,vị_thuốc
Ách nghịch,Vị hàn,"nấc, ách nghịch","Tiếng nấc trầm và thưa, dạ dày không yên, ưa nóng, ăn ít, đầy bụng, miệng nhạt không khát, rêu trắng nhuận, mạch trì hoãn",rêu trắng nhuận,mạch trì hoãn,Ôn vị giáng nghịch phương,"Đẳng sâm, Đinh hương, Thị đế, Sinh khương, Giềng (Cao lương khương), Trích thảo. (Nếu có đờm trệ, ợ hơi có mùi, gia: Trần bì, Hậu phác, Chỉ thực)"
Ách nghịch,Vị nhiệt,"nấc, ách nghịch","Tiếng nấc trong, nấc mạnh, nấc dồn, hôi miệng, buồn bực, khát nước, táo bón, mặt đỏ, rêu vàng, mạch hoạt sác",rêu vàng,mạch hoạt sác,Tiểu thừa khí thang gia giảm,"Đại hoàng, Hậu phác, Chỉ thực, Trúc nhự, Sinh khương, Trần bì, Hoàng cầm"
Ách nghịch,Tỳ thận dương hư,"nấc, ách nghịch","Tiếng nấc nông và yếu, đoản khí, sắc mặt nhợt, tay chân mát, ăn ít, mệt mỏi, lưỡi nhạt, mạch trầm tế",lưỡi nhạt,mạch trầm tế,Ôn thận nạp khí phương,"Đẳng sâm, Bạch truật, Can khương, Cam thảo, Phụ tử, Đinh hương, Phá cố chỉ, Ngũ vị tử"
Ách nghịch,Vị âm hư,"nấc, ách nghịch","Tiếng nấc nhanh mà không liên tục, khô miệng, họng ráo, phiền khát buồn bực, lưỡi đỏ khô, mạch tế sác",lưỡi đỏ khô,mạch tế sác,Dưỡng vị thang gia giảm,"Ngọc trúc, Tang diệp, Sao biển đậu, Sa sâm, Cam thảo, Thạch hộc, Thị đế, Mạch môn"
Ác lộ bất tuyệt,Khí hư,,"Sau sinh quá thời gian bình thường sản dịch vẫn lai rai không ngừng, màu hồng nhạt, lượng nhiều, chất dẻo dính, không mùi hôi, cảm giác bụng dưới trệ xuống, tinh thần mệt mỏi, lưỡi hồng nhạt, rêu bình thường, mạch Hoãn nhược","lưỡi hồng nhạt, rêu bình thường",mạch Hoãn nhược,Bổ trung ích khí gia giảm,"Đẳng sâm, Hoàng kỳ, Chích thảo, Thăng ma, Qui đầu, Sài hồ, Bạch truật, Trần bì, Ngải diệp sao đen. (Nếu cả khí huyết đều hư: dùng Thập toàn đại bổ thang)"
Ác lộ bất tuyệt,Huyết ứ,,"Sinh xong đau bụng, ác lộ ra không dứt, màu huyết tím đen hoặc có cục, lưỡi có điểm ứ huyết, mạch Sáp",lưỡi có điểm ứ huyết,mạch Sáp,Sinh hóa thang gia giảm,"Đương quy, Xuyên khung, Đào nhân, Bào khương, Cam thảo, Tam thất, Ích mẫu. (Nếu miệng khô, họng khô, mạch Huyền Sác: thêm Địa du, Hoàng bá sao đen)"
Ác lộ bất tuyệt,Huyết nhiệt,,"Ác lộ ra không dứt, sắc huyết đỏ tươi, tâm phiền, miệng khát nước, lưỡi hồng, mạch Sác",lưỡi hồng,mạch Sác,Bảo Âm Tiễn,"Sinh địa, Bạch thược, Hoài sơn, Tục đoạn, Hoàng cầm, Hoàng bá, Cam thảo, A giao, Hạn liên thảo, Ô tặc cốt"
Suy tuyến thượng thận (Addison),Tỳ Thận dương hư,,"Sợ lạnh, tay chân lạnh, phân lỏng, nước tiểu trong nhiều, phù toàn thân, tình dục giảm, lông tóc không mượt, rụng lông âm bộ và nách, nam liệt dương hoạt tinh, nữ tử cung lạnh khí hư nhiều vô sinh, lưỡi nhạt có dấu răng, rêu lưỡi nhuận hoạt, mạch Trầm Tế Nhu Nhược","lưỡi nhạt có dấu răng, rêu lưỡi nhuận hoạt",mạch Trầm Tế Nhu Nhược,Phương trị Tỳ Thận dương hư,"Đẳng sâm, Kê huyết đằng, Tang kí sinh, Hoàng kỳ, Thỏ ti tử, Tục đoạn, Lộc giác giao, Phá cố chỉ, Đỗ trọng, Kê nội kim, Giá trùng, Sinh bồ hoàng, Hổ phách"
Suy tuyến thượng thận (Addison),Can Thận âm hư,,"Hoa mắt, ù tai, tay chân tê dại, ngũ tâm phiền nhiệt, bụng trướng, táo bón, di tinh, mồ hôi trộm, nữ ngực căng vú có hạch, lưỡi hồng ít tân dịch, rêu vàng mỏng, mạch Huyền Tế hoặc Tế Sác","lưỡi hồng ít tân dịch, rêu vàng mỏng",mạch Huyền Tế hoặc Tế Sác,Phương trị Can Thận âm hư,"Sa sâm, Tục đoạn, Bạch thược, Sinh địa, Kỉ tử, Đỗ trọng, Nữ trinh tử, Hạn liên thảo, Qui đầu, Miết trùng, Sinh bồ hoàng, Kê nội kim, Hổ phách"
Suy tuyến thượng thận (Addison),Dương hư ứ huyết,,"Sắc mặt xám đen, sợ lạnh, suy giảm tình dục, liệt dương, bế kinh, hay quên, đờ đẫn, chỉ thích nằm, lưỡi nhạt có điểm ứ huyết, rêu trắng nhuận, mạch Vi Tế","lưỡi nhạt có điểm ứ huyết, rêu trắng nhuận",mạch Vi Tế,Tứ Vật Hồi Dương Ẩm gia giảm,"Nhân sâm, Phụ tử chế, Bào khương, Trích thảo, Đào nhân, Hoài sơn, Sơn thù, Đan sâm, Kê huyết đằng, Phục linh, Đan bì, Trạch tả"
